,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,20.606060606060606,0.0,0.0,74.48275862068967,28.888888888888886
Llama-3.2-3B-Instruct,74.53083109919572,0.0,0.5649717514124294,95.45454545454545,72.36533957845434
Llama-3.2-1B-Instruct,85.1904090267983,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,79.72972972972973,63.47305389221557,74.94423791821562,96.045197740113,68.73385012919897
Qwen2.5-0.5B-Instruct,73.558648111332,65.21739130434783,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,3.7383177570093453,0.0,3.3333333333333335,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
