,conmec,trofi,mohx
Llama-3.1-8B-Instruct,48.01762114537445,18.34319526627219,7.142857142857142
Llama-3.2-3B-Instruct,65.7856093979442,40.86799276672694,17.24137931034483
Llama-3.2-1B-Instruct,98.89705882352942,89.18169209431346,75.86206896551724
Qwen2-1.5B-Instruct,59.56112852664577,70.07722007722008,66.17647058823529
Qwen2.5-0.5B-Instruct,89.31451612903226,80.6083650190114,63.69426751592356
Qwen2.5-7B-Instruct-1M,24.548736462093864,9.803921568627452,22.857142857142858
Qwen2.5-14B-Instruct-1M,23.972602739726025,13.937282229965156,11.11111111111111
