,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,27.27272727272727,0.0,0.0,75.177304964539,31.93717277486911
Llama-3.2-3B-Instruct,71.50537634408603,0.0,9.743589743589745,95.45454545454545,71.96261682242991
Llama-3.2-1B-Instruct,84.70254957507082,73.0,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,76.7402376910017,62.82051282051282,74.77611940298507,96.045197740113,69.34306569343066
Qwen2.5-0.5B-Instruct,74.6506986027944,65.49707602339181,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,3.669724770642202,0.0,2.684563758389262,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.9523809523809524
