,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,27.74566473988439,0.0,0.7142857142857143,74.28571428571429,31.6622691292876
Llama-3.2-3B-Instruct,74.80106100795756,0.0,15.037593984962406,95.45454545454545,71.96261682242991
Llama-3.2-1B-Instruct,85.6330014224751,74.48979591836735,89.05817174515236,85.0,98.89705882352942
Qwen2-1.5B-Instruct,77.38693467336684,54.67625899280576,71.32043734230446,96.045197740113,65.78249336870027
Qwen2.5-0.5B-Instruct,75.34516765285996,67.08074534161491,81.9454679439941,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,3.7037037037037033,0.0,1.4598540145985401,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.78125,87.8048780487805,0.0
