,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,27.586206896551722,0.0,0.0,74.48275862068967,31.496062992125985
Llama-3.2-3B-Instruct,74.73118279569893,0.0,8.10126582278481,95.45454545454545,72.1120186697783
Llama-3.2-1B-Instruct,85.35211267605634,76.69902912621359,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,76.84563758389261,58.108108108108105,75.0,96.045197740113,66.06217616580311
Qwen2.5-0.5B-Instruct,75.14910536779324,66.66666666666666,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,5.5045871559633035,0.0,1.3605442176870748,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
