,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,0.0,0.0,0.0,74.82993197278913,28.901734104046245
Llama-3.2-3B-Instruct,60.81871345029239,0.0,0.0,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,85.3185595567867,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,79.51070336391437,69.0721649484536,74.94423791821562,96.045197740113,69.0734055354994
Qwen2.5-0.5B-Instruct,70.58823529411765,63.829787234042556,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,0.0,0.0,1.3559322033898304,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
