,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,26.436781609195403,0.0,0.0,76.2589928057554,32.460732984293195
Llama-3.2-3B-Instruct,74.40633245382587,0.0,8.333333333333332,95.45454545454545,72.28070175438597
Llama-3.2-1B-Instruct,85.75498575498575,73.26732673267327,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,76.76767676767676,62.82051282051282,74.86950037285608,96.045197740113,69.55475330926595
Qwen2.5-0.5B-Instruct,74.80314960629921,63.58381502890174,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,7.079646017699115,0.0,4.635761589403973,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.7380073800738007,87.8048780487805,0.9523809523809524
