,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,27.11864406779661,0.0,0.6622516556291391,71.83098591549296,29.629629629629626
Llama-3.2-3B-Instruct,75.60321715817693,0.0,12.285012285012286,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,85.67375886524823,73.07692307692307,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,76.66666666666667,64.15094339622641,74.72035794183445,96.045197740113,64.24731182795699
Qwen2.5-0.5B-Instruct,74.75538160469667,68.53932584269663,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,5.555555555555555,0.0,1.9933554817275747,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
