,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,13.793103448275861,0.0,0.0,73.10344827586206,2.247191011235955
Llama-3.2-3B-Instruct,64.86486486486487,0.0,0.0,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,85.23676880222841,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,77.61674718196457,60.97560975609756,74.94423791821562,96.045197740113,70.43580683156655
Qwen2.5-0.5B-Instruct,73.62204724409449,68.39378238341969,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,1.9801980198019802,0.0,0.0,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
