,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,0.0,0.0,0.0,68.57142857142857,0.0
Llama-3.2-3B-Instruct,68.1592039800995,0.0,0.0,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,84.958217270195,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,76.82119205298014,60.91954022988506,74.94423791821562,96.045197740113,70.43580683156655
Qwen2.5-0.5B-Instruct,70.80979284369114,67.03296703296702,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,0.0,0.0,0.0,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
