,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,39.130434782608695,7.142857142857142,19.12568306010929,68.29268292682927,35.43123543123543
Llama-3.2-3B-Instruct,78.43137254901961,23.684210526315788,36.97478991596639,95.45454545454545,64.99302649930266
Llama-3.2-1B-Instruct,84.02366863905326,69.36416184971098,88.82978723404256,77.24137931034483,98.89705882352942
Qwen2-1.5B-Instruct,75.57117750439367,54.13533834586466,72.28714524207011,96.045197740113,55.218855218855225
Qwen2.5-0.5B-Instruct,73.94209354120267,45.80152671755725,81.71428571428572,98.34254143646409,88.97876643073812
Qwen2.5-7B-Instruct-1M,12.8,11.428571428571429,23.85786802030457,97.20670391061452,19.11764705882353
Qwen2.5-14B-Instruct-1M,10.95890410958904,10.0,22.15909090909091,86.95652173913044,24.84472049689441
