,conmec,trofi,mohx
Llama-3.1-8B-Instruct,48.917748917748916,42.066420664206646,10.526315789473683
Llama-3.2-3B-Instruct,61.63723916532905,49.404761904761905,32.55813953488372
Llama-3.2-1B-Instruct,98.80184331797236,84.54935622317596,64.19753086419753
Qwen2-1.5B-Instruct,57.95644891122278,70.12487992315081,63.44827586206897
Qwen2.5-0.5B-Instruct,83.60477741585234,74.79406919275124,63.69426751592356
Qwen2.5-7B-Instruct-1M,38.547486033519554,39.548022598870055,12.76595744680851
Qwen2.5-14B-Instruct-1M,40.38461538461539,35.20309477756286,11.76470588235294
