,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,40.0,7.4074074074074066,15.217391304347828,73.68421052631578,29.023746701846964
Llama-3.2-3B-Instruct,77.38693467336684,22.58064516129032,28.793774319066145,95.45454545454545,70.01287001287001
Llama-3.2-1B-Instruct,85.46762589928058,72.16494845360825,89.21244209133025,78.91156462585033,98.89705882352942
Qwen2-1.5B-Instruct,75.09025270758123,56.060606060606055,73.17829457364341,96.045197740113,60.36036036036037
Qwen2.5-0.5B-Instruct,72.22222222222221,54.01459854014598,81.94640338504936,98.34254143646409,89.2245720040282
Qwen2.5-7B-Instruct-1M,2.0,17.647058823529413,6.853582554517133,97.20670391061452,18.705035971223023
Qwen2.5-14B-Instruct-1M,0.0,19.047619047619047,6.779661016949152,87.8048780487805,12.977099236641221
