,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,40.19138755980861,0.0,8.074534161490684,73.84615384615385,30.02680965147453
Llama-3.2-3B-Instruct,79.6116504854369,21.21212121212121,32.63757115749525,95.45454545454545,66.05263157894737
Llama-3.2-1B-Instruct,84.4250363901019,68.78306878306879,89.16776750330251,81.29032258064515,98.89705882352942
Qwen2-1.5B-Instruct,74.19354838709677,63.1578947368421,73.58636715724245,96.045197740113,60.256410256410255
Qwen2.5-0.5B-Instruct,74.44933920704845,53.333333333333336,82.02959830866807,98.34254143646409,89.33601609657947
Qwen2.5-7B-Instruct-1M,11.864406779661017,0.0,20.441988950276244,97.20670391061452,15.079365079365079
Qwen2.5-14B-Instruct-1M,0.0,0.0,12.121212121212121,87.65432098765432,5.263157894736842
