,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,0.0,0.0,0.0,74.82993197278913,0.0
Llama-3.2-3B-Instruct,65.97938144329896,4.25531914893617,2.2535211267605635,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,85.3185595567867,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,73.98230088495575,64.42953020134227,74.7565543071161,96.045197740113,70.43580683156655
Qwen2.5-0.5B-Instruct,72.03389830508475,69.38775510204081,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,0.0,0.0,0.0,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
