,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,41.32231404958678,0.0,20.94240837696335,66.66666666666666,45.87525150905433
Llama-3.2-3B-Instruct,77.9746835443038,27.397260273972602,33.273703041144906,95.45454545454545,60.96096096096096
Llama-3.2-1B-Instruct,84.75073313782991,71.11111111111111,89.24092409240924,78.66666666666666,98.89705882352942
Qwen2-1.5B-Instruct,73.09833024118738,57.14285714285714,70.34482758620689,96.045197740113,63.250366032210835
Qwen2.5-0.5B-Instruct,75.48806941431671,58.97435897435898,81.83776022972002,97.77777777777777,88.70803662258393
Qwen2.5-7B-Instruct-1M,26.993865030674847,11.428571428571429,23.589743589743588,97.20670391061452,8.403361344537815
Qwen2.5-14B-Instruct-1M,5.714285714285714,9.523809523809524,26.08695652173913,88.34355828220859,33.50785340314136
