,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,5.714285714285714,0.0,2.5559105431309903,66.66666666666666,31.062670299727518
Llama-3.2-3B-Instruct,78.71287128712872,15.625,20.26431718061674,95.45454545454545,67.10526315789474
Llama-3.2-1B-Instruct,84.9507735583685,72.72727272727273,89.19631093544137,84.27672955974843,98.89705882352942
Qwen2-1.5B-Instruct,76.48183556405354,59.74025974025974,74.01086113266098,96.045197740113,67.62402088772846
Qwen2.5-0.5B-Instruct,73.70689655172413,60.64516129032258,82.7972027972028,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,0.0,0.0,2.6936026936026933,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,1.4705882352941175,85.71428571428571,1.8518518518518516
