,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,39.44954128440367,7.142857142857142,20.8,66.66666666666666,41.29032258064516
Llama-3.2-3B-Instruct,77.94117647058823,23.376623376623375,40.51446945337621,95.45454545454545,66.75712347354138
Llama-3.2-1B-Instruct,84.22619047619048,68.23529411764706,88.87408394403731,73.75886524822694,98.89705882352942
Qwen2-1.5B-Instruct,74.55830388692578,55.47445255474452,72.93729372937293,96.045197740113,55.852842809364546
Qwen2.5-0.5B-Instruct,72.97297297297297,51.798561151079134,81.97424892703863,98.34254143646409,88.75379939209726
Qwen2.5-7B-Instruct-1M,12.903225806451612,11.428571428571429,26.190476190476193,97.20670391061452,19.494584837545126
Qwen2.5-14B-Instruct-1M,13.157894736842104,10.0,18.658892128279884,86.25,23.270440251572328
