,dice,mohx,trofi,pub_14_metonymy,conmec
Llama-3.1-8B-Instruct,0.0,0.0,0.0,74.82993197278913,9.454545454545455
Llama-3.2-3B-Instruct,76.21483375959079,0.0,1.1396011396011396,95.45454545454545,72.24157955865273
Llama-3.2-1B-Instruct,85.3185595567867,76.63551401869158,89.19631093544137,85.0,98.89705882352942
Qwen2-1.5B-Instruct,73.51778656126481,61.53846153846154,74.53042824943651,96.045197740113,70.43580683156655
Qwen2.5-0.5B-Instruct,72.91666666666666,66.29213483146067,82.70571827057182,98.34254143646409,89.44723618090453
Qwen2.5-7B-Instruct-1M,0.0,0.0,0.0,97.20670391061452,0.0
Qwen2.5-14B-Instruct-1M,0.0,0.0,0.0,87.8048780487805,0.0
